Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,PPI (YoY) (Dec),6.20%,6.80%,7.30%,1/18/2023 13:30
USD,1.0,PPI (YoY) (Jan),6.00%,5.40%,6.50%,2/16/2023 13:30
USD,1.0,PPI (YoY) (Feb),4.60%,5.40%,5.70%,3/15/2023 12:30
USD,1.0,PPI (YoY) (Mar),2.70%,3.00%,4.90%,4/13/2023 12:30
USD,1.0,PPI (YoY) (Apr),2.30%,2.40%,2.70%,5/11/2023 12:30
USD,1.0,PPI (YoY) (May),1.10%,1.50%,2.30%,6/14/2023 12:30
USD,1.0,PPI (YoY) (Jun),0.10%,0.40%,0.90%,7/13/2023 12:30
USD,1.0,PPI (YoY) (Jul),0.80%,0.70%,0.20%,8/11/2023 12:30
USD,1.0,PPI (YoY) (Aug),1.60%,1.20%,0.80%,9/14/2023 12:30
USD,1.0,PPI (YoY) (Sep),2.20%,1.60%,2.00%,10/11/2023 12:30
USD,1.0,PPI (YoY) (Oct),1.30%,1.90%,2.20%,11/15/2023 13:30
USD,1.0,PPI (YoY) (Nov),0.90%,1.00%,1.20%,12/13/2023 13:30
USD,1.0,PPI (YoY) (Dec),1.00%,1.30%,0.80%,1/12/2024 13:30
USD,1.0,PPI (YoY) (Jan),0.90%,0.60%,1.00%,2/16/2024 13:30
USD,1.0,PPI (YoY) (Feb),1.60%,1.10%,1.00%,3/14/2024 12:30
USD,1.0,PPI (YoY) (Mar),2.10%,2.20%,1.60%,4/11/2024 12:30
