Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Dec),0.10%,,0.30%,1/18/2023 13:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Jan),0.60%,,0.20%,2/16/2023 13:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Feb),0.20%,,0.50%,3/15/2023 12:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Mar),0.10%,0.10%,0.20%,4/13/2023 12:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Apr),0.20%,,0.10%,5/11/2023 12:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (May),0.00%,,0.10%,6/14/2023 12:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Jun),0.10%,,0.00%,7/13/2023 12:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Jul),0.20%,0.10%,0.10%,8/11/2023 12:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Aug),0.30%,,0.30%,9/14/2023 12:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Sep),0.20%,0.20%,0.20%,10/11/2023 12:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Oct),0.10%,,0.30%,11/15/2023 13:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Nov),0.10%,,0.10%,12/13/2023 13:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Dec),0.20%,,0.10%,1/12/2024 13:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Jan),0.60%,0.10%,0.20%,2/16/2024 13:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Feb),0.40%,,0.60%,3/14/2024 12:30
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Mar),0.20%,0.20%,0.30%,4/11/2024 12:30
