Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Participation Rate (Dec),62.30%,,62.20%,1/6/2023 13:30
USD,2.0,Participation Rate (Jan),62.40%,,62.30%,2/3/2023 13:30
USD,2.0,Participation Rate (Feb),62.50%,,62.40%,3/10/2023 13:30
USD,2.0,Participation Rate (Mar),62.60%,62.50%,62.50%,4/7/2023 12:30
USD,2.0,Participation Rate (Apr),62.60%,62.50%,62.60%,5/4/2023 12:30
USD,2.0,Participation Rate (May),62.60%,62.50%,62.60%,6/2/2023 12:30
USD,2.0,Participation Rate (Jun),62.60%,62.60%,62.60%,7/7/2023 12:30
USD,2.0,Participation Rate (Jul),62.60%,62.60%,62.60%,8/4/2023 12:30
USD,2.0,Participation Rate (Aug),62.80%,62.60%,62.60%,9/1/2023 12:30
USD,2.0,Participation Rate (Sep),62.80%,,62.80%,10/6/2023 12:30
USD,2.0,Participation Rate (Oct),62.70%,62.80%,62.80%,11/3/2023 12:30
USD,2.0,Participation Rate (Nov),62.80%,62.70%,62.70%,12/8/2023 13:30
USD,2.0,Participation Rate (Dec),62.50%,62.80%,62.80%,1/5/2024 13:30
USD,2.0,Participation Rate (Jan),62.50%,62.60%,62.50%,2/2/2024 13:30
USD,2.0,Participation Rate (Feb),62.50%,,62.50%,3/8/2024 13:30
USD,2.0,Participation Rate (Mar),62.70%,62.60%,62.50%,4/5/2024 12:30
