Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Pending Home Sales (MoM) (Dec),2.50%,-0.90%,-2.60%,2023-01-27 15:00:00
USD,2.0,Pending Home Sales (MoM) (Jan),8.10%,1.00%,1.10%,2023-02-27 15:00:00
USD,2.0,Pending Home Sales (MoM) (Feb),0.80%,-2.30%,8.10%,2023-03-29 14:00:00
USD,2.0,Pending Home Sales (MoM) (Mar),-5.20%,0.50%,0.80%,2023-04-27 14:00:00
USD,2.0,Pending Home Sales (MoM) (Apr),0.00%,0.50%,-5.20%,2023-05-25 14:00:00
USD,2.0,Pending Home Sales (MoM) (May),-2.70%,-0.50%,-0.40%,2023-06-29 14:00:00
USD,2.0,Pending Home Sales (MoM) (Jun),0.30%,-0.50%,-2.50%,2023-07-27 14:00:00
USD,2.0,Pending Home Sales (MoM) (Jul),0.90%,-0.60%,0.40%,2023-08-30 14:00:00
USD,2.0,Pending Home Sales (MoM) (Aug),-7.10%,-0.80%,0.50%,2023-09-28 14:00:00
USD,2.0,Pending Home Sales (MoM) (Sep),1.10%,-1.80%,-7.10%,2023-10-26 14:00:00
USD,2.0,Pending Home Sales (MoM) (Oct),-1.50%,-2.00%,1.00%,2023-11-30 15:00:00
USD,2.0,Pending Home Sales (MoM) (Nov),0.00%,1.00%,-1.20%,2023-12-28 15:00:00
USD,2.0,Pending Home Sales (MoM) (Dec),8.30%,1.50%,0.00%,2024-01-26 15:00:00
USD,2.0,Pending Home Sales (MoM) (Jan),-4.90%,1.40%,5.70%,2024-02-29 15:00:00
USD,2.0,Pending Home Sales (MoM) (Feb),1.60%,1.40%,-4.70%,2024-03-28 14:00:00
USD,2.0,Pending Home Sales (MoM) (Mar),3.40%,0.30%,1.60%,2024-04-25 14:00:00
USD,2.0,Pending Home Sales (MoM) (Apr),,,3.40%,2024-05-30 14:00:00
