Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Pending Home Sales Index (Dec),76.9,,75,1/27/2023 15:00
USD,1.0,Pending Home Sales Index (Jan),82.5,,76.3,2/27/2023 15:00
USD,1.0,Pending Home Sales Index (Feb),83.2,,82.5,3/29/2023 14:00
USD,1.0,Pending Home Sales Index (Mar),78.9,,83.2,4/27/2023 14:00
USD,1.0,Pending Home Sales Index (Apr),78.9,,78.9,5/25/2023 14:00
USD,1.0,Pending Home Sales Index (May),76.5,,78.6,6/29/2023 14:00
USD,1.0,Pending Home Sales Index (Jun),76.8,,76.6,7/27/2023 14:00
USD,1.0,Pending Home Sales Index (Jul),77.6,,76.9,8/30/2023 14:00
USD,1.0,Pending Home Sales Index (Aug),71.8,,77.3,9/28/2023 14:00
USD,1.0,Pending Home Sales Index (Sep),72.6,,71.8,10/26/2023 14:00
USD,1.0,Pending Home Sales Index (Oct),71.4,,72.5,11/30/2023 15:00
USD,1.0,Pending Home Sales Index (Nov),71.6,,71.6,12/28/2023 15:00
USD,1.0,Pending Home Sales Index (Dec),77.3,,71.4,1/26/2024 15:00
USD,1.0,Pending Home Sales Index (Jan),74.3,,78.1,2/29/2024 15:00
USD,1.0,Pending Home Sales Index (Feb),75.6,,74.4,3/28/2024 14:00
USD,1.0,Pending Home Sales Index (Mar),78.2,,75.6,4/25/2024 14:00
