Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Pending Home Sales (MoM) (Dec),2.50%,-0.90%,-2.60%,1/27/2023 15:00
USD,2.0,Pending Home Sales (MoM) (Jan),8.10%,1.00%,1.10%,2/27/2023 15:00
USD,2.0,Pending Home Sales (MoM) (Feb),0.80%,-2.30%,8.10%,3/29/2023 14:00
USD,2.0,Pending Home Sales (MoM) (Mar),-5.20%,0.50%,0.80%,4/27/2023 14:00
USD,2.0,Pending Home Sales (MoM) (Apr),0.00%,0.50%,-5.20%,5/25/2023 14:00
USD,2.0,Pending Home Sales (MoM) (May),-2.70%,-0.50%,-0.40%,6/29/2023 14:00
USD,2.0,Pending Home Sales (MoM) (Jun),0.30%,-0.50%,-2.50%,7/27/2023 14:00
USD,2.0,Pending Home Sales (MoM) (Jul),0.90%,-0.60%,0.40%,8/30/2023 14:00
USD,2.0,Pending Home Sales (MoM) (Aug),-7.10%,-0.80%,0.50%,9/28/2023 14:00
USD,2.0,Pending Home Sales (MoM) (Sep),1.10%,-1.80%,-7.10%,10/26/2023 14:00
USD,2.0,Pending Home Sales (MoM) (Oct),-1.50%,-2.00%,1.00%,11/30/2023 15:00
USD,2.0,Pending Home Sales (MoM) (Nov),0.00%,1.00%,-1.20%,12/28/2023 15:00
USD,2.0,Pending Home Sales (MoM) (Dec),8.30%,1.50%,0.00%,1/26/2024 15:00
USD,2.0,Pending Home Sales (MoM) (Jan),-4.90%,1.40%,5.70%,2/29/2024 15:00
USD,2.0,Pending Home Sales (MoM) (Feb),1.60%,1.40%,-4.70%,3/28/2024 14:00
USD,2.0,Pending Home Sales (MoM) (Mar),3.40%,0.30%,1.60%,4/25/2024 14:00
