Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Personal Income (MoM) (Dec),0.20%,0.20%,0.30%,1/27/2023 13:30
USD,1.0,Personal Income (MoM) (Jan),0.60%,1.00%,0.30%,2/24/2023 13:30
USD,1.0,Personal Income (MoM) (Feb),0.30%,0.20%,0.60%,3/31/2023 12:30
USD,1.0,Personal Income (MoM) (Mar),0.30%,0.20%,0.30%,4/28/2023 12:30
USD,1.0,Personal Income (MoM) (Apr),0.40%,0.40%,0.30%,5/26/2023 12:30
USD,1.0,Personal Income (MoM) (May),0.40%,0.30%,0.30%,6/30/2023 12:30
USD,1.0,Personal Income (MoM) (Jun),0.30%,0.50%,0.50%,7/28/2023 12:30
USD,1.0,Personal Income (MoM) (Jul),0.20%,0.30%,0.30%,8/31/2023 12:30
USD,1.0,Personal Income (MoM) (Aug),0.40%,0.40%,0.20%,9/29/2023 12:30
USD,1.0,Personal Income (MoM) (Sep),0.30%,0.40%,0.40%,10/27/2023 12:30
USD,1.0,Personal Income (MoM) (Oct),0.20%,0.20%,0.40%,11/30/2023 13:30
USD,1.0,Personal Income (MoM) (Nov),0.40%,0.40%,0.30%,12/22/2023 13:30
USD,2.0,Personal Income (MoM) (Dec),0.30%,0.30%,0.40%,1/26/2024 13:30
USD,1.0,Personal Income (MoM) (Jan),1.00%,0.40%,0.30%,2/29/2024 13:30
USD,1.0,Personal Income (MoM) (Feb),0.30%,0.40%,1.00%,3/29/2024 12:30
USD,1.0,Personal Income (MoM) (Mar),0.50%,0.50%,0.30%,4/26/2024 12:30
