Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,Philadelphia Fed Manufacturing Index (Jan),-8.9,-11,-13.7,2023-01-19 13:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Feb),-24.3,-7.4,-8.9,2023-02-16 13:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Mar),-23.2,-15.6,-24.3,2023-03-16 12:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Apr),-31.3,-19.2,-23.2,2023-04-20 12:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (May),-10.4,-19.8,-31.3,2023-05-18 12:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Jun),-13.7,-13.5,-10.4,2023-06-15 12:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Jul),-13.5,-10,-13.7,2023-07-20 12:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Aug),12,-10,-13.5,2023-08-17 12:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Sep),-13.5,-0.7,12,2023-09-21 12:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Oct),-9,-6.4,-13.5,2023-10-19 12:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Nov),-5.9,-9,-9,2023-11-16 13:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Dec),-10.5,-3,-5.9,2023-12-21 13:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Jan),-10.6,-7,-12.8,2024-01-18 13:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Feb),5.2,-8,-10.6,2024-02-15 13:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Mar),3.2,-2.6,5.2,2024-03-21 12:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (Apr),15.5,1.5,3.2,2024-04-18 12:30:00
USD,3.0,Philadelphia Fed Manufacturing Index (May),4.5,7.7,15.5,2024-05-16 12:30:00
