Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Philly Fed Business Conditions (Jan),4.9,,-0.9,1/19/2023 13:30
USD,1.0,Philly Fed Business Conditions (Feb),1.7,,4.9,2/16/2023 13:30
USD,1.0,Philly Fed Business Conditions (Mar),-8,,1.7,3/16/2023 12:30
USD,1.0,Philly Fed Business Conditions (Apr),-1.5,-11.9,-8,4/20/2023 12:30
USD,1.0,Philly Fed Business Conditions (May),-10.3,-11.3,-1.5,5/18/2023 12:30
USD,1.0,Philly Fed Business Conditions (Jun),12.7,-10.9,-10.3,6/15/2023 12:30
USD,1.0,Philly Fed Business Conditions (Jul),29.1,10,12.7,7/20/2023 12:30
USD,1.0,Philly Fed Business Conditions (Aug),3.9,31.6,29.1,8/17/2023 12:30
USD,1.0,Philly Fed Business Conditions (Sep),11.1,,3.9,9/21/2023 12:30
USD,1.0,Philly Fed Business Conditions (Oct),9.2,,11.1,10/19/2023 12:30
USD,1.0,Philly Fed Business Conditions (Nov),-2.1,,9.2,11/16/2023 13:30
USD,1.0,Philly Fed Business Conditions (Dec),12.1,,-2.1,12/21/2023 13:30
USD,1.0,Philly Fed Business Conditions (Jan),-4,,12.6,1/18/2024 13:30
USD,1.0,Philly Fed Business Conditions (Feb),7.2,,-4,2/15/2024 13:30
USD,1.0,Philly Fed Business Conditions (Mar),38.6,,7.2,3/21/2024 12:30
USD,1.0,Philly Fed Business Conditions (Apr),34.3,,38.6,4/18/2024 12:30
