Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Philly Fed Employment (Jan),10.9,,-0.9,1/19/2023 13:30
USD,2.0,Philly Fed Employment (Feb),5.1,,10.9,2/16/2023 13:30
USD,2.0,Philly Fed Employment (Mar),-10.3,,5.1,3/16/2023 12:30
USD,2.0,Philly Fed Employment (Apr),-0.2,-2.6,-10.3,4/20/2023 12:30
USD,2.0,Philly Fed Employment (May),-8.6,-5.2,-0.2,5/18/2023 12:30
USD,2.0,Philly Fed Employment (Jun),-0.4,-4.4,-8.6,6/15/2023 12:30
USD,2.0,Philly Fed Employment (Jul),-1,-4.5,-0.4,7/20/2023 12:30
USD,2.0,Philly Fed Employment (Aug),-6,-0.7,-1,8/17/2023 12:30
USD,2.0,Philly Fed Employment (Sep),-5.7,,-6,9/21/2023 12:30
USD,2.0,Philly Fed Employment (Oct),4,,-5.7,10/19/2023 12:30
USD,2.0,Philly Fed Employment (Nov),0.8,,4,11/16/2023 13:30
USD,2.0,Philly Fed Employment (Dec),-1.7,,0.8,12/21/2023 13:30
USD,2.0,Philly Fed Employment (Jan),-1.8,,-2.5,1/18/2024 13:30
USD,2.0,Philly Fed Employment (Feb),-10.3,,-1.8,2/15/2024 13:30
USD,2.0,Philly Fed Employment (Mar),-9.6,,-10.3,3/21/2024 12:30
USD,2.0,Philly Fed Employment (Apr),-10.7,,-9.6,4/18/2024 12:30
