Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Philly Fed New Orders (Jan),-10.9,,-22.3,2023-01-19 13:30:00
USD,1.0,Philly Fed New Orders (Feb),-13.6,,-10.9,2023-02-16 13:30:00
USD,1.0,Philly Fed New Orders (Mar),-28.2,,-13.6,2023-03-16 12:30:00
USD,1.0,Philly Fed New Orders (Apr),-22.7,-21.2,-28.2,2023-04-20 12:30:00
USD,1.0,Philly Fed New Orders (May),-8.9,-25.7,-22.7,2023-05-18 12:30:00
USD,1.0,Philly Fed New Orders (Jun),-11,-15.8,-8.9,2023-06-15 12:30:00
USD,1.0,Philly Fed New Orders (Jul),-15.9,-10,-11,2023-07-20 12:30:00
USD,1.0,Philly Fed New Orders (Aug),16,-13.5,-15.9,2023-08-17 12:30:00
USD,1.0,Philly Fed New Orders (Sep),-10.2,,16,2023-09-21 12:30:00
USD,1.0,Philly Fed New Orders (Oct),4.4,,-10.2,2023-10-19 12:30:00
USD,1.0,Philly Fed New Orders (Nov),1.3,,4.4,2023-11-16 13:30:00
USD,1.0,Philly Fed New Orders (Dec),-25.6,,1.3,2023-12-21 13:30:00
USD,1.0,Philly Fed New Orders (Jan),-17.9,,-22.1,2024-01-18 13:30:00
USD,1.0,Philly Fed New Orders (Feb),-5.2,,-17.9,2024-02-15 13:30:00
USD,1.0,Philly Fed New Orders (Mar),5.4,,-5.2,2024-03-21 12:30:00
USD,1.0,Philly Fed New Orders (Apr),12.2,,5.4,2024-04-18 12:30:00
USD,1.0,Philly Fed New Orders (May),-7.9,,12.2,2024-05-16 12:30:00
