Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Philly Fed Prices Paid (Jan),24.5,,36.3,2023-01-19 13:30:00
USD,1.0,Philly Fed Prices Paid (Feb),26.5,,24.5,2023-02-16 13:30:00
USD,1.0,Philly Fed Prices Paid (Mar),23.5,,26.5,2023-03-16 12:30:00
USD,1.0,Philly Fed Prices Paid (Apr),8.2,28,23.5,2023-04-20 12:30:00
USD,1.0,Philly Fed Prices Paid (May),10.9,8.1,8.2,2023-05-18 12:30:00
USD,1.0,Philly Fed Prices Paid (Jun),10.5,9.5,10.9,2023-06-15 12:30:00
USD,1.0,Philly Fed Prices Paid (Jul),9.5,10.7,10.5,2023-07-20 12:30:00
USD,1.0,Philly Fed Prices Paid (Aug),20.8,10.1,9.5,2023-08-17 12:30:00
USD,1.0,Philly Fed Prices Paid (Sep),25.7,,20.8,2023-09-21 12:30:00
USD,1.0,Philly Fed Prices Paid (Oct),23.1,,25.7,2023-10-19 12:30:00
USD,1.0,Philly Fed Prices Paid (Nov),14.8,,23.1,2023-11-16 13:30:00
USD,1.0,Philly Fed Prices Paid (Dec),25.1,,14.8,2023-12-21 13:30:00
USD,1.0,Philly Fed Prices Paid (Jan),11.3,,24.3,2024-01-18 13:30:00
USD,1.0,Philly Fed Prices Paid (Feb),16.6,,11.3,2024-02-15 13:30:00
USD,1.0,Philly Fed Prices Paid (Mar),3.7,,16.6,2024-03-21 12:30:00
USD,1.0,Philly Fed Prices Paid (Apr),23,,3.7,2024-04-18 12:30:00
USD,1.0,Philly Fed Prices Paid (May),18.7,,23,2024-05-16 12:30:00
