Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,Redbook (YoY),10.20%,,9.60%,2023-01-04 13:55:00
USD,1.0,Redbook (YoY),5.30%,,10.20%,2023-01-10 13:55:00
USD,1.0,Redbook (YoY),5.00%,,5.30%,2023-01-18 13:55:00
USD,1.0,Redbook (YoY),4.60%,,5.00%,2023-01-24 13:55:00
USD,1.0,Redbook (YoY),4.90%,,4.60%,2023-01-31 13:55:00
USD,1.0,Redbook (YoY),4.30%,,4.90%,2023-02-07 13:55:00
USD,1.0,Redbook (YoY),4.90%,,4.30%,2023-02-14 13:55:00
USD,1.0,Redbook (YoY),5.30%,,4.90%,2023-02-22 13:55:00
USD,1.0,Redbook (YoY),5.30%,,5.30%,2023-02-28 13:55:00
USD,1.0,Redbook (YoY),3.00%,,5.30%,2023-03-07 13:55:00
USD,1.0,Redbook (YoY),2.60%,,3.00%,2023-03-14 12:55:00
USD,1.0,Redbook (YoY),3.20%,,2.60%,2023-03-21 12:55:00
USD,1.0,Redbook (YoY),2.80%,,3.20%,2023-03-28 12:55:00
USD,1.0,Redbook (YoY),3.70%,,2.80%,2023-04-04 12:55:00
USD,1.0,Redbook (YoY),1.50%,,3.70%,2023-04-11 12:55:00
USD,1.0,Redbook (YoY),1.10%,,1.50%,2023-04-18 12:55:00
USD,1.0,Redbook (YoY),1.80%,,1.10%,2023-04-25 12:55:00
USD,1.0,Redbook (YoY),1.30%,,1.80%,2023-05-02 12:55:00
USD,1.0,Redbook (YoY),1.30%,,1.30%,2023-05-08 14:50:00
USD,1.0,Redbook (YoY),1.60%,,1.30%,2023-05-16 12:55:00
USD,1.0,Redbook (YoY),1.50%,,1.60%,2023-05-23 12:55:00
USD,1.0,Redbook (YoY),1.20%,,1.50%,2023-05-31 12:55:00
USD,1.0,Redbook (YoY),0.60%,,1.20%,2023-06-06 12:55:00
USD,1.0,Redbook (YoY),0.40%,,0.60%,2023-06-13 12:55:00
USD,1.0,Redbook (YoY),0.90%,,0.40%,2023-06-21 12:55:00
USD,1.0,Redbook (YoY),0.50%,,0.90%,2023-06-27 12:55:00
USD,1.0,Redbook (YoY),0.70%,,0.50%,2023-07-05 12:55:00
USD,1.0,Redbook (YoY),-0.40%,,0.70%,2023-07-11 12:55:00
USD,1.0,Redbook (YoY),-0.20%,,-0.40%,2023-07-18 12:55:00
USD,1.0,Redbook (YoY),-0.40%,,-0.20%,2023-07-25 12:55:00
USD,1.0,Redbook (YoY),0.10%,,-0.40%,2023-08-01 12:55:00
USD,1.0,Redbook (YoY),0.30%,,0.10%,2023-08-08 14:00:00
USD,1.0,Redbook (YoY),0.70%,,0.30%,2023-08-15 12:55:00
USD,1.0,Redbook (YoY),2.90%,,0.70%,2023-08-22 12:55:00
USD,1.0,Redbook (YoY),4.20%,,2.90%,2023-08-29 12:55:00
USD,1.0,Redbook (YoY),4.10%,,4.20%,2023-09-06 12:55:00
USD,1.0,Redbook (YoY),4.60%,,4.10%,2023-09-12 14:30:00
USD,1.0,Redbook (YoY),3.60%,,4.60%,2023-09-19 12:55:00
USD,1.0,Redbook (YoY),3.80%,,3.60%,2023-09-26 12:55:00
USD,1.0,Redbook (YoY),3.50%,,3.80%,2023-10-03 12:55:00
USD,1.0,Redbook (YoY),4.00%,,3.50%,2023-10-10 12:55:00
USD,1.0,Redbook (YoY),4.60%,,4.00%,2023-10-17 12:55:00
USD,1.0,Redbook (YoY),5.00%,,4.60%,2023-10-24 12:55:00
USD,1.0,Redbook (YoY),5.30%,,5.00%,2023-10-31 12:55:00
USD,1.0,Redbook (YoY),3.10%,,5.30%,2023-11-07 13:55:00
USD,1.0,Redbook (YoY),3.00%,,3.10%,2023-11-14 13:55:00
USD,1.0,Redbook (YoY),3.40%,,3.00%,2023-11-21 13:55:00
USD,1.0,Redbook (YoY),6.30%,,3.40%,2023-11-28 13:55:00
USD,1.0,Redbook (YoY),3.00%,,6.30%,2023-12-05 13:55:00
USD,1.0,Redbook (YoY),3.40%,,3.00%,2023-12-12 13:55:00
USD,1.0,Redbook (YoY),3.60%,,3.40%,2023-12-19 13:55:00
USD,1.0,Redbook (YoY),4.10%,,3.60%,2023-12-27 13:55:00
USD,1.0,Redbook (YoY),5.60%,,4.10%,2024-01-03 13:55:00
USD,1.0,Redbook (YoY),5.90%,,5.60%,2024-01-09 13:55:00
USD,1.0,Redbook (YoY),5.00%,,5.90%,2024-01-17 13:55:00
USD,1.0,Redbook (YoY),5.20%,,5.00%,2024-01-23 14:55:00
USD,1.0,Redbook (YoY),5.00%,,5.20%,2024-01-30 13:55:00
USD,1.0,Redbook (YoY),6.10%,,5.00%,2024-02-06 13:55:00
USD,1.0,Redbook (YoY),2.50%,,6.10%,2024-02-13 13:55:00
USD,1.0,Redbook (YoY),3.00%,,2.50%,2024-02-21 13:55:00
USD,1.0,Redbook (YoY),2.70%,,3.00%,2024-02-27 13:55:00
USD,1.0,Redbook (YoY),3.10%,,2.70%,2024-03-05 13:55:00
