Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Reserve Balances with Federal Reserve Banks,3.117T,,3.050T,2023-01-12 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.118T,,3.117T,2023-01-19 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.000T,,3.118T,2023-01-26 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.030T,,3.000T,2023-02-02 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.034T,,3.030T,2023-02-09 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.107T,,3.034T,2023-02-16 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,2.984T,,3.107T,2023-02-23 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.028T,,2.984T,2023-03-02 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.004T,,3.028T,2023-03-09 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.444T,,3.004T,2023-03-16 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.370T,,3.444T,2023-03-23 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.401T,,3.370T,2023-03-30 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.381T,,3.401T,2023-04-06 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.348T,,3.381T,2023-04-13 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.165T,,3.348T,2023-04-20 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.132T,,3.165T,2023-04-27 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.166T,,3.132,2023-05-04 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.225T,,3.166T,2023-05-11 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.280T,,3.225T,2023-05-18 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.251T,,3.280T,2023-05-25 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.206T,,3.251T,2023-06-01 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.306T,,3.206T,2023-06-08 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.306T,,3.306T,2023-06-15 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.203T,,3.306T,2023-06-22 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.176T,,3.203T,2023-06-29 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.180T,,3.176T,2023-07-06 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.162T,,3.180T,2023-07-13 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.221T,,3.162T,2023-07-20 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.167T,,3.221T,2023-07-27 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.217T,,3.167T,2023-08-03 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.229T,,3.217T,2023-08-10 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.229T,,3.229T,2023-08-17 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.177T,,3.229T,2023-08-24 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.196T,,3.177T,2023-08-31 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.290T,,3.196T,2023-09-07 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.310T,,3.290T,2023-09-14 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.144T,,3.310T,2023-09-21 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.168T,,3.144T,2023-09-28 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.241T,,3.168T,2023-10-05 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.316T,,3.241T,2023-10-12 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.250T,,3.316T,2023-10-19 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.264T,,3.250T,2023-10-26 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.315T,,3.264T,2023-11-02 20:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.360T,,3.315T,2023-11-09 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.483T,,3.360T,2023-11-16 21:30:00
USD,1.0,Reserve Balances with Federal Reserve Banks,3.455T,,3.483T,2023-11-24 21:30:00
