Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Retail Control (MoM) (Dec),-0.70%,-0.30%,-0.20%,1/18/2023 13:30
USD,2.0,Retail Control (MoM) (Jan),1.70%,0.80%,-0.70%,2/15/2023 13:30
USD,2.0,Retail Control (MoM) (Feb),0.50%,-0.30%,2.30%,3/15/2023 12:30
USD,2.0,Retail Control (MoM) (Mar),-0.30%,-0.30%,0.50%,4/14/2023 12:30
USD,2.0,Retail Control (MoM) (Apr),0.70%,0.30%,-0.40%,5/16/2023 12:30
USD,2.0,Retail Control (MoM) (May),0.20%,0.00%,0.60%,6/15/2023 12:30
USD,2.0,Retail Control (MoM) (Jun),0.60%,-0.30%,0.30%,7/18/2023 12:30
USD,2.0,Retail Control (MoM) (Jul),1.00%,0.20%,0.50%,8/15/2023 12:30
USD,2.0,Retail Control (MoM) (Aug),0.10%,,0.70%,9/14/2023 12:30
USD,2.0,Retail Control (MoM) (Sep),0.60%,0.10%,0.20%,10/17/2023 12:30
USD,2.0,Retail Control (MoM) (Oct),0.20%,,0.70%,11/15/2023 13:30
USD,2.0,Retail Control (MoM) (Nov),0.40%,,0.20%,12/14/2023 13:30
USD,2.0,Retail Control (MoM) (Dec),0.80%,,0.50%,1/17/2024 13:30
USD,2.0,Retail Control (MoM) (Jan),-0.40%,0.20%,0.60%,2/15/2024 13:30
USD,2.0,Retail Control (MoM) (Feb),0.00%,,-0.30%,3/14/2024 12:30
USD,2.0,Retail Control (MoM) (Mar),1.10%,0.40%,0.30%,4/15/2024 12:30
