Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Retail Inventories Ex Auto (Nov),-0.30%,,-0.60%,1/18/2023 15:00
USD,2.0,Retail Inventories Ex Auto (Dec),0.30%,,-0.40%,1/26/2023 13:30
USD,2.0,Retail Inventories Ex Auto (Dec),0.40%,0.30%,-0.30%,2/15/2023 15:00
USD,2.0,Retail Inventories Ex Auto (Jan),0.20%,,0.10%,2/28/2023 13:30
USD,2.0,Retail Inventories Ex Auto (Jan),0.10%,0.20%,0.20%,3/15/2023 14:00
USD,2.0,Retail Inventories Ex Auto (Feb),0.40%,,0.10%,3/28/2023 12:30
USD,2.0,Retail Inventories Ex Auto (Feb),0.30%,0.40%,0.10%,4/14/2023 14:00
USD,2.0,Retail Inventories Ex Auto (Mar),0.40%,0.10%,-0.10%,4/26/2023 12:30
USD,2.0,Retail Inventories Ex Auto (Mar),0.30%,0.40%,-0.20%,5/16/2023 14:00
USD,2.0,Retail Inventories Ex Auto (Apr),-0.10%,,0.10%,5/26/2023 12:30
USD,2.0,Retail Inventories Ex Auto (Apr),-0.20%,-0.10%,0.30%,6/15/2023 14:00
USD,2.0,Retail Inventories Ex Auto (May),0.00%,,-0.30%,6/28/2023 12:30
USD,2.0,Retail Inventories Ex Auto (May),-0.10%,0.00%,-0.20%,7/18/2023 14:00
USD,2.0,Retail Inventories Ex Auto (Jun),0.40%,,-0.10%,7/27/2023 12:30
USD,2.0,Retail Inventories Ex Auto (Jun),0.30%,0.40%,-0.10%,8/15/2023 14:00
USD,2.0,Retail Inventories Ex Auto (Jul),0.10%,,0.20%,8/30/2023 12:30
USD,2.0,Retail Inventories Ex Auto (Jul),0.00%,,0.10%,9/14/2023 14:00
USD,2.0,Retail Inventories Ex Auto (Aug),0.60%,,0.00%,9/29/2023 12:30
USD,2.0,Retail Inventories Ex Auto (Aug),0.50%,0.60%,0.00%,10/17/2023 14:00
USD,2.0,Retail Inventories Ex Auto (Sep),0.30%,,0.60%,10/26/2023 12:30
USD,2.0,Retail Inventories Ex Auto (Sep),0.40%,0.30%,0.50%,11/15/2023 15:00
USD,2.0,Retail Inventories Ex Auto (Oct),-0.90%,,-0.40%,11/29/2023 13:30
USD,2.0,Retail Inventories Ex Auto (Oct),-0.90%,-0.90%,0.40%,12/14/2023 15:00
USD,2.0,Retail Inventories Ex Auto (Nov),-0.80%,,-1.10%,12/28/2023 13:30
USD,2.0,Retail Inventories Ex Auto (Nov),-0.90%,-0.80%,-1.10%,1/17/2024 15:00
USD,2.0,Retail Inventories Ex Auto (Dec),0.60%,,-0.60%,1/25/2024 13:30
USD,2.0,Retail Inventories Ex Auto (Dec),0.40%,0.60%,-0.90%,2/15/2024 15:00
USD,2.0,Retail Inventories Ex Auto (Jan),0.30%,,0.40%,2/28/2024 13:30
USD,2.0,Retail Inventories Ex Auto (Jan),0.30%,0.30%,0.40%,3/14/2024 14:00
USD,2.0,Retail Inventories Ex Auto (Feb),0.40%,,0.30%,3/29/2024 12:30
USD,2.0,Retail Inventories Ex Auto (Feb),0.40%,0.40%,0.30%,4/15/2024 14:00
USD,2.0,Retail Inventories Ex Auto (Mar),-0.10%,,0.30%,4/25/2024 12:30
