Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Dec),-0.70%,,-0.50%,2023-01-18 13:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Jan),2.60%,,-0.40%,2023-02-15 13:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Feb),0.00%,,2.80%,2023-03-15 12:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Mar),-0.30%,-0.10%,0.00%,2023-04-14 12:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Apr),0.60%,0.20%,-0.50%,2023-05-16 12:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (May),0.40%,-0.30%,0.50%,2023-06-15 12:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Jun),0.30%,0.00%,0.50%,2023-07-18 12:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Jul),1.00%,0.10%,0.40%,2023-08-15 12:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Aug),0.20%,0.50%,0.70%,2023-09-14 12:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Sep),0.60%,0.10%,0.30%,2023-10-17 12:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Oct),0.10%,0.00%,0.80%,2023-11-15 13:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Nov),0.60%,,0.10%,2023-12-14 13:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Dec),0.60%,,0.60%,2024-01-17 13:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Jan),-0.50%,,0.60%,2024-02-15 13:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Feb),0.30%,,-0.80%,2024-03-14 12:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Mar),1.00%,0.30%,0.50%,2024-04-15 12:30:00
USD,1.0,Retail Sales Ex Gas/Autos (MoM) (Apr),-0.10%,,0.70%,2024-05-15 12:30:00
