Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,Retail Sales (MoM) (Dec),-1.10%,-0.80%,-1.00%,1/18/2023 13:30
USD,3.0,Retail Sales (MoM) (Jan),3.00%,1.80%,-1.10%,2/15/2023 13:30
USD,3.0,Retail Sales (MoM) (Feb),-0.40%,-0.30%,3.20%,3/15/2023 12:30
USD,3.0,Retail Sales (MoM) (Mar),-1.00%,-0.40%,-0.20%,4/14/2023 12:30
USD,3.0,Retail Sales (MoM) (Apr),0.40%,0.80%,-0.70%,5/16/2023 12:30
USD,3.0,Retail Sales (MoM) (May),0.30%,-0.10%,0.40%,6/15/2023 12:30
USD,3.0,Retail Sales (MoM) (Jun),0.20%,0.50%,0.50%,7/18/2023 12:30
USD,3.0,Retail Sales (MoM) (Jul),0.70%,0.40%,0.30%,8/15/2023 12:30
USD,3.0,Retail Sales (MoM) (Aug),0.60%,0.20%,0.50%,9/14/2023 12:30
USD,3.0,Retail Sales (MoM) (Sep),0.70%,0.30%,0.80%,10/17/2023 12:30
USD,3.0,Retail Sales (MoM) (Oct),-0.10%,-0.30%,0.90%,11/15/2023 13:30
USD,3.0,Retail Sales (MoM) (Nov),0.30%,-0.10%,-0.20%,12/14/2023 13:30
USD,3.0,Retail Sales (MoM) (Dec),0.60%,0.40%,0.30%,1/17/2024 13:30
USD,3.0,Retail Sales (MoM) (Jan),-0.80%,-0.20%,0.40%,2/15/2024 13:30
USD,3.0,Retail Sales (MoM) (Feb),0.60%,0.80%,-1.10%,3/14/2024 12:30
USD,3.0,Retail Sales (MoM) (Mar),0.70%,0.40%,0.90%,4/15/2024 12:30
