Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Retail Sales (YoY) (Dec),6.02%,,6.01%,1/18/2023 13:30
USD,1.0,Retail Sales (YoY) (Jan),6.38%,,5.89%,2/15/2023 13:30
USD,1.0,Retail Sales (YoY) (Feb),5.39%,,7.68%,3/15/2023 12:30
USD,1.0,Retail Sales (YoY) (Mar),2.94%,5.90%,5.88%,4/14/2023 12:30
USD,1.0,Retail Sales (YoY) (Apr),1.60%,4.20%,2.42%,5/16/2023 12:30
USD,1.0,Retail Sales (YoY) (May),1.61%,,1.23%,6/15/2023 12:30
USD,1.0,Retail Sales (YoY) (Jun),1.49%,1.60%,1.96%,7/18/2023 12:30
USD,1.0,Retail Sales (YoY) (Jul),3.17%,1.50%,1.59%,8/15/2023 12:30
USD,1.0,Retail Sales (YoY) (Aug),2.47%,,2.64%,9/14/2023 12:30
USD,1.0,Retail Sales (YoY) (Sep),3.75%,,2.89%,10/17/2023 12:30
USD,1.0,Retail Sales (YoY) (Oct),2.48%,,4.05%,11/15/2023 13:30
USD,1.0,Retail Sales (YoY) (Nov),4.09%,,2.24%,12/14/2023 13:30
USD,1.0,Retail Sales (YoY) (Dec),5.59%,,3.97%,1/17/2024 13:30
USD,1.0,Retail Sales (YoY) (Jan),0.65%,,5.31%,2/15/2024 13:30
USD,1.0,Retail Sales (YoY) (Feb),1.50%,,0.04%,3/14/2024 12:30
USD,1.0,Retail Sales (YoY) (Mar),4.02%,,2.11%,4/15/2024 12:30
