Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Richmond Services Index (Jan),-6,,-12,1/24/2023 15:00
USD,1.0,Richmond Services Index (Feb),-3,,-6,2/28/2023 15:00
USD,1.0,Richmond Services Index,-17,,-3,3/28/2023 14:00
USD,1.0,Richmond Services Index (Apr),-23,-3,-17,4/25/2023 14:00
USD,1.0,Richmond Services Index (May),-10,-29,-23,5/23/2023 14:00
USD,1.0,Richmond Services Index (Jun),-3,7,-10,6/27/2023 14:00
USD,1.0,Richmond Services Index (Jul),-2,9,-8,7/25/2023 14:00
USD,1.0,Richmond Services Index (Aug),4,-4,-2,8/22/2023 14:00
USD,1.0,Richmond Services Index (Sep),4,,4,9/26/2023 14:00
USD,1.0,Richmond Services Index (Oct),-11,,4,10/24/2023 14:00
USD,1.0,Richmond Services Index (Nov),1,,-11,11/28/2023 15:00
USD,1.0,Richmond Services Index (Dec),0,,1,12/27/2023 15:00
USD,1.0,Richmond Services Index (Jan),4,,0,1/23/2024 15:00
USD,1.0,Richmond Services Index (Feb),-16,,4,2/27/2024 15:00
USD,1.0,Richmond Services Index (Mar),-7,,-16,3/26/2024 14:00
USD,1.0,Richmond Services Index (Apr),-13,,-7,4/23/2024 14:00
