Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,,S&P Global Services PMI (Dec),44.7,44.4,46.2,1/5/2023 14:45
USD,3.0,S&P Global Services PMI (Jan),46.6,45,44.7,1/24/2023 14:45
USD,3.0,S&P Global Services PMI (Jan),46.8,46.6,44.7,2/3/2023 14:45
USD,3.0,S&P Global Services PMI (Feb),50.5,47.2,46.8,2/21/2023 14:45
USD,3.0,S&P Global Services PMI (Feb),50.6,50.5,46.8,3/3/2023 14:45
USD,3.0,S&P Global Services PMI (Mar),53.8,50.5,50.6,3/24/2023 13:45
USD,3.0,S&P Global Services PMI (Mar),52.6,53.8,50.6,4/5/2023 13:45
USD,3.0,S&P Global Services PMI (Apr),53.7,51.5,52.6,4/21/2023 13:45
USD,3.0,S&P Global Services PMI (Apr),53.6,53.7,52.6,5/3/2023 13:45
USD,3.0,S&P Global Services PMI (May),55.1,52.6,53.6,5/23/2023 13:45
USD,3.0,S&P Global Services PMI (May),54.9,55.1,53.6,6/5/2023 13:45
USD,3.0,S&P Global Services PMI (Jun),54.1,54,54.9,6/23/2023 13:45
USD,3.0,S&P Global Services PMI (Jun),54.4,54.1,54.9,7/6/2023 13:45
USD,3.0,S&P Global Services PMI (Jul),52.4,54,54.4,7/24/2023 13:45
USD,3.0,S&P Global Services PMI (Jul),52.3,52.4,54.4,8/3/2023 13:45
USD,3.0,S&P Global Services PMI (Aug),51,52.3,52.3,8/23/2023 13:45
USD,3.0,S&P Global Services PMI (Aug),50.5,51,52.3,9/6/2023 13:45
USD,3.0,S&P Global Services PMI (Sep),50.2,50.6,50.5,9/22/2023 13:45
USD,3.0,S&P Global Services PMI (Sep),50.1,50.2,50.5,10/4/2023 13:45
USD,3.0,S&P Global Services PMI (Oct),50.9,49.8,50.1,10/24/2023 13:45
USD,3.0,S&P Global Services PMI (Oct),50.6,50.9,50.1,11/3/2023 13:45
USD,3.0,S&P Global Services PMI (Nov),50.8,50.4,50.6,11/24/2023 14:45
USD,3.0,S&P Global Services PMI (Nov),50.8,50.8,50.6,12/5/2023 14:45
USD,3.0,S&P Global Services PMI (Dec),51.3,50.6,50.8,12/15/2023 14:45
USD,3.0,S&P Global Services PMI (Dec),51.4,51.3,50.8,1/4/2024 14:45
USD,3.0,S&P Global Services PMI (Jan),52.9,51,51.4,1/24/2024 14:45
USD,3.0,S&P Global Services PMI (Jan),52.5,52.9,51.4,2/5/2024 14:45
USD,3.0,S&P Global Services PMI (Feb),51.3,52.4,52.5,2/22/2024 14:45
USD,3.0,S&P Global Services PMI (Feb),52.3,51.3,52.5,3/5/2024 14:45
USD,3.0,S&P Global Services PMI (Mar),51.7,52,52.3,3/21/2024 13:45
USD,3.0,S&P Global Services PMI (Mar),51.7,51.7,52.3,4/3/2024 13:45
USD,3.0,S&P Global Services PMI (Apr),50.9,52,51.7,4/23/2024 13:45
