Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,S&P Global US Manufacturing PMI (Dec),46.2,46.2,47.7,2023-01-03 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Jan),46.8,46,46.2,2023-01-24 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Jan),46.9,46.8,46.8,2023-02-01 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Feb),47.8,47.1,46.9,2023-02-21 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Feb),47.3,47.8,46.9,2023-03-01 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Mar),49.3,47,47.3,2023-03-24 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Mar),49.2,49.3,47.3,2023-04-03 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Apr),50.4,49,49.2,2023-04-21 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Apr),50.2,50.4,49.2,2023-05-01 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (May),48.5,50,50.2,2023-05-23 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (May),48.4,48.5,50.2,2023-06-01 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Jun),46.3,48.5,48.4,2023-06-23 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Jun),46.3,46.3,48.4,2023-07-03 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Jul),49,46.4,46.3,2023-07-24 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Jul),49,49,46.3,2023-08-01 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Aug),47,49.3,49,2023-08-23 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Aug),47.9,47,49,2023-09-01 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Sep),48.9,48,47.9,2023-09-22 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Sep),49.8,48.9,47.9,2023-10-02 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Oct),50,49.5,49.8,2023-10-24 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Oct),50,50,49.8,2023-11-01 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Nov),49.4,49.8,50,2023-11-24 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Nov),49.4,49.4,50,2023-12-01 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Dec),48.2,49.3,49.4,2023-12-15 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Dec),47.9,48.2,49.4,2024-01-02 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Jan),50.3,47.9,47.9,2024-01-24 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Jan),50.7,50.3,47.9,2024-02-01 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Feb),51.5,50.5,50.7,2024-02-22 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Feb),52.2,51.5,50.7,2024-03-01 14:45:00
USD,3.0,S&P Global US Manufacturing PMI (Mar),52.5,51.8,52.2,2024-03-21 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Mar),51.9,52.5,52.2,2024-04-01 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Apr),49.9,52,51.9,2024-04-23 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (Apr),50,49.9,51.9,2024-05-01 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (May),,,50,2024-05-23 13:45:00
USD,3.0,S&P Global US Manufacturing PMI (May),,,,2024-06-03 13:45:00
