Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,TIC Net Long-Term Transactions (Nov),171.5B,92.7B,67.8B,1/18/2023 21:00
USD,2.0,TIC Net Long-Term Transactions (Dec),152.8B,,171.5B,2/15/2023 21:00
USD,2.0,TIC Net Long-Term Transactions (Jan),31.9B,,152.8B,3/15/2023 20:00
USD,2.0,TIC Net Long-Term Transactions (Feb),71.0B,101.9B,31.9B,4/17/2023 20:00
USD,2.0,TIC Net Long-Term Transactions (Mar),133.3B,85.4B,56.6B,5/15/2023 20:00
USD,2.0,TIC Net Long-Term Transactions (Apr),127.8B,107.4B,205.6B,6/15/2023 20:00
USD,2.0,TIC Net Long-Term Transactions (May),25.8B,110.2B,127.8B,7/18/2023 20:00
USD,2.0,TIC Net Long-Term Transactions (Jun),195.9B,107.2B,23.6B,8/15/2023 20:00
USD,2.0,TIC Net Long-Term Transactions (Jul),8.8B,116.5B,186.0B,9/18/2023 20:00
USD,2.0,TIC Net Long-Term Transactions (Aug),63.5B,76.8B,9.5B,10/18/2023 20:00
USD,2.0,TIC Net Long-Term Transactions (Sep),-1.7B,89.4B,62.2B,11/16/2023 21:00
USD,2.0,TIC Net Long-Term Transactions (Oct),3.3B,45.8B,0.9B,12/19/2023 21:00
USD,2.0,TIC Net Long-Term Transactions (Dec),160.2B,42.6B,99.7B,2/15/2024 21:00
USD,2.0,TIC Net Long-Term Transactions (Jan),36.1B,95.5B,158.6B,3/19/2024 20:00
USD,2.0,TIC Net Long-Term Transactions (Feb),71.5B,40.2B,14.0B,4/17/2024 20:00
