Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,U.S. Baker Hughes Total Rig Count,772,,779,1/6/2023 18:00
USD,2.0,U.S. Baker Hughes Total Rig Count,725,,772,1/13/2023 18:00
USD,2.0,U.S. Baker Hughes Total Rig Count,771,,775,1/20/2023 18:00
USD,2.0,U.S. Baker Hughes Total Rig Count,771,,771,1/27/2023 18:00
USD,2.0,U.S. Baker Hughes Total Rig Count,759,,771,2/3/2023 18:00
USD,2.0,U.S. Baker Hughes Total Rig Count,761,,759,2/10/2023 18:00
USD,2.0,U.S. Baker Hughes Total Rig Count,760,,761,2/17/2023 18:00
USD,2.0,U.S. Baker Hughes Total Rig Count,753,,760,2/24/2023 18:00
USD,2.0,U.S. Baker Hughes Total Rig Count,749,,753,3/3/2023 18:00
USD,2.0,U.S. Baker Hughes Total Rig Count,746,,749,3/10/2023 18:00
USD,2.0,U.S. Baker Hughes Total Rig Count,754,,746,3/17/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,758,,754,3/24/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,755,,758,3/31/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,751,,755,4/6/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,748,,751,4/14/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,753,,748,4/21/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,755,,753,4/28/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,748,,755,5/4/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,731,,748,5/12/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,720,,731,5/19/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,711,,720,5/26/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,696,,711,6/2/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,695,,696,6/9/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,687,,695,6/16/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,682,,687,6/23/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,674,,682,6/30/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,680,,674,7/7/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,675,,680,7/14/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,669,,675,7/21/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,664,,669,7/28/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,659,,664,8/4/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,654,,659,8/11/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,642,,654,8/18/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,632,,642,8/25/2023 17:00
USD,1.0,U.S. Baker Hughes Total Rig Count,631,,632,9/1/2023 17:00
USD,2.0,U.S. Baker Hughes Total Rig Count,632,,631,9/8/2023 17:00
