Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,"US Foreign Buying, T-bonds (Nov)",54.20B,,61.90B,1/18/2023 21:00
USD,1.0,"US Foreign Buying, T-bonds (Dec)",20.00B,,54.20B,2/15/2023 21:00
USD,1.0,"US Foreign Buying, T-bonds (Jan)",50.90B,,20.00B,3/15/2023 20:00
USD,1.0,"US Foreign Buying, T-bonds (Feb)",55.60B,42.10B,50.90B,4/17/2023 20:00
USD,1.0,"US Foreign Buying, T-bonds (Mar)",35.80B,42.90B,57.60B,5/15/2023 20:00
USD,1.0,"US Foreign Buying, T-bonds (Apr)",92.20B,40.70B,90.50B,6/15/2023 20:00
USD,1.0,"US Foreign Buying, T-bonds (May)",37.50B,47.00B,92.20B,7/18/2023 20:00
USD,1.0,"US Foreign Buying, T-bonds (Jun)",66.40B,49.90B,34.30B,8/15/2023 20:00
USD,1.0,"US Foreign Buying, T-bonds (Jul)",0.20B,,57.30B,9/18/2023 20:00
USD,1.0,"US Foreign Buying, T-bonds (Aug)",22.10B,,-4.40B,10/18/2023 20:00
USD,1.0,"US Foreign Buying, T-bonds (Sep)",-17.50B,,21.70B,11/16/2023 21:00
USD,1.0,"US Foreign Buying, T-bonds (Oct)",54.00B,,-15.50B,12/19/2023 21:00
USD,1.0,"US Foreign Buying, T-bonds (Dec)",33.80B,,72.40B,2/15/2024 21:00
USD,1.0,"US Foreign Buying, T-bonds (Jan)",67.80B,,33.80B,3/19/2024 20:00
USD,1.0,"US Foreign Buying, T-bonds (Feb)",88.80B,,46.30B,4/17/2024 20:00
