Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,US Leading Index (MoM) (Dec),-1.00%,-0.70%,-1.10%,2023-01-23 15:00:00
USD,2.0,US Leading Index (MoM) (Jan),-0.30%,-0.30%,-0.80%,2023-02-17 15:00:00
USD,2.0,US Leading Index (MoM) (Feb),-0.30%,-0.30%,-0.30%,2023-03-17 14:00:00
USD,2.0,US Leading Index (MoM) (Mar),-1.20%,-0.60%,-0.50%,2023-04-20 14:00:00
USD,2.0,US Leading Index (MoM) (Apr),-0.60%,-0.60%,-1.20%,2023-05-18 14:00:00
USD,2.0,US Leading Index (MoM) (May),-0.70%,-0.70%,-0.60%,2023-06-22 14:00:00
USD,2.0,US Leading Index (MoM) (Jun),-0.70%,-0.60%,-0.60%,2023-07-20 14:00:00
USD,2.0,US Leading Index (MoM) (Jul),-0.40%,-0.40%,-0.70%,2023-08-17 14:00:00
USD,2.0,US Leading Index (MoM) (Aug),-0.40%,-0.50%,-0.30%,2023-09-21 14:00:00
USD,2.0,US Leading Index (MoM) (Sep),-0.70%,-0.40%,-0.50%,2023-10-19 14:00:00
USD,2.0,US Leading Index (MoM) (Oct),-0.80%,-0.70%,-0.70%,2023-11-20 15:00:00
USD,2.0,US Leading Index (MoM) (Nov),-0.50%,-0.40%,-1.00%,2023-12-21 15:00:00
USD,2.0,US Leading Index (MoM) (Dec),-0.10%,-0.30%,-0.50%,2024-01-22 15:00:00
USD,2.0,US Leading Index (MoM) (Jan),-0.40%,-0.30%,-0.20%,2024-02-20 15:00:00
USD,2.0,US Leading Index (MoM) (Feb),0.10%,-0.10%,-0.40%,2024-03-21 14:00:00
USD,2.0,US Leading Index (MoM) (Mar),-0.30%,-0.10%,0.20%,2024-04-18 14:00:00
USD,2.0,US Leading Index (MoM) (Apr),-0.60%,-0.30%,-0.30%,2024-05-17 14:00:00
