Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Wholesale Inventories (MoM),1.00%,1.00%,1.00%,1/10/2023 15:00
USD,1.0,Wholesale Inventories (MoM),0.10%,0.50%,1.00%,1/26/2023 13:30
USD,1.0,Wholesale Inventories (MoM) (Dec),0.10%,0.10%,0.90%,2/8/2023 15:00
USD,1.0,Wholesale Inventories (MoM),-0.40%,0.10%,0.10%,2/28/2023 13:30
USD,1.0,Wholesale Inventories (MoM) (Jan),-0.40%,-0.40%,0.10%,3/7/2023 15:00
USD,1.0,Wholesale Inventories (MoM),0.20%,0.20%,-0.40%,3/28/2023 12:30
USD,1.0,Wholesale Inventories (MoM) (Feb),0.10%,0.20%,-0.30%,4/10/2023 14:00
USD,1.0,Wholesale Inventories (MoM),0.10%,,0.10%,4/26/2023 12:30
USD,1.0,Wholesale Inventories (MoM) (Mar),0.00%,0.10%,0.00%,5/8/2023 14:00
USD,1.0,Wholesale Inventories (MoM),-0.20%,0.00%,0.00%,5/26/2023 12:30
USD,1.0,Wholesale Inventories (MoM) (Apr),-0.10%,-0.20%,-0.20%,6/8/2023 14:00
USD,1.0,Wholesale Inventories (MoM),-0.10%,-0.20%,-0.30%,6/28/2023 12:30
USD,1.0,Wholesale Inventories (MoM) (May),0.00%,-0.10%,-0.30%,7/10/2023 14:00
USD,1.0,Wholesale Inventories (MoM),-0.30%,-0.30%,-0.30%,7/27/2023 12:30
USD,1.0,Wholesale Inventories (MoM) (Jun),-0.50%,-0.30%,-0.40%,8/8/2023 14:00
USD,1.0,Wholesale Inventories (MoM),-0.10%,-0.40%,-0.70%,8/30/2023 12:30
USD,1.0,Wholesale Inventories (MoM) (Jul),-0.20%,-0.10%,-0.50%,9/8/2023 14:00
USD,1.0,Wholesale Inventories (MoM),-0.10%,0.10%,-0.20%,9/29/2023 12:30
USD,1.0,Wholesale Inventories (MoM) (Aug),-0.10%,-0.10%,-0.30%,10/10/2023 14:00
USD,1.0,Wholesale Inventories (MoM),0.00%,0.10%,-0.10%,10/26/2023 12:30
USD,1.0,Wholesale Inventories (MoM) (Sep),0.20%,0.00%,-0.10%,11/8/2023 15:00
USD,1.0,Wholesale Inventories (MoM),-0.20%,0.10%,0.10%,11/29/2023 13:30
USD,1.0,Wholesale Inventories (MoM) (Oct),-0.40%,-0.20%,0.00%,12/7/2023 15:00
USD,1.0,Wholesale Inventories (MoM),-0.20%,-0.20%,-0.40%,12/28/2023 13:30
USD,1.0,Wholesale Inventories (MoM) (Nov),-0.20%,-0.20%,-0.40%,1/10/2024 15:00
USD,1.0,Wholesale Inventories (MoM),0.40%,-0.20%,-0.40%,1/25/2024 13:30
USD,1.0,Wholesale Inventories (MoM) (Dec),0.40%,0.40%,-0.40%,2/8/2024 15:00
USD,1.0,Wholesale Inventories (MoM),-0.10%,0.10%,0.40%,2/28/2024 13:30
USD,1.0,Wholesale Inventories (MoM) (Jan),-0.30%,-0.10%,0.40%,3/6/2024 15:00
USD,1.0,Wholesale Inventories (MoM) (Feb),0.50%,0.20%,-0.30%,3/29/2024 12:30
USD,1.0,Wholesale Inventories (MoM) (Feb),0.50%,0.50%,-0.30%,4/10/2024 14:00
USD,1.0,Wholesale Inventories (MoM),-0.40%,0.20%,0.40%,4/25/2024 12:30
