Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Wholesale Trade Sales (MoM) (Nov),-0.60%,0.50%,0.40%,2023-01-10 15:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Dec),0.00%,-0.30%,-1.40%,2023-02-08 15:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Jan),1.00%,-0.30%,-0.20%,2023-03-07 15:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Feb),0.40%,0.50%,0.40%,2023-04-10 14:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Mar),-2.10%,0.50%,0.40%,2023-05-08 14:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Apr),0.20%,0.40%,-2.70%,2023-06-08 14:00:00
USD,1.0,Wholesale Trade Sales (MoM) (May),-0.20%,0.30%,0.00%,2023-07-10 14:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Jun),-0.70%,0.30%,-0.50%,2023-08-08 14:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Jul),0.80%,-0.20%,-0.80%,2023-09-08 14:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Aug),1.80%,,1.20%,2023-10-10 14:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Sep),2.20%,,2.00%,2023-11-08 15:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Oct),-1.30%,,2.00%,2023-12-07 15:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Nov),0.00%,,-1.50%,2024-01-10 15:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Dec),0.70%,,-0.10%,2024-02-08 15:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Jan),-1.70%,0.30%,0.30%,2024-03-06 15:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Feb),2.30%,0.80%,-1.40%,2024-04-10 14:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Mar),-1.30%,,2.00%,2024-05-08 14:00:00
USD,1.0,Wholesale Trade Sales (MoM) (Apr),,,-1.30%,2024-06-07 14:00:00
