Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,Wholesale Trade Sales (MoM) (Nov),-0.60%,0.50%,0.40%,1/10/2023 15:00
USD,1.0,Wholesale Trade Sales (MoM) (Dec),0.00%,-0.30%,-1.40%,2/8/2023 15:00
USD,1.0,Wholesale Trade Sales (MoM) (Jan),1.00%,-0.30%,-0.20%,3/7/2023 15:00
USD,1.0,Wholesale Trade Sales (MoM) (Feb),0.40%,0.50%,0.40%,4/10/2023 14:00
USD,1.0,Wholesale Trade Sales (MoM) (Mar),-2.10%,0.50%,0.40%,5/8/2023 14:00
USD,1.0,Wholesale Trade Sales (MoM) (Apr),0.20%,0.40%,-2.70%,6/8/2023 14:00
USD,1.0,Wholesale Trade Sales (MoM) (May),-0.20%,0.30%,0.00%,7/10/2023 14:00
USD,1.0,Wholesale Trade Sales (MoM) (Jun),-0.70%,0.30%,-0.50%,8/8/2023 14:00
USD,1.0,Wholesale Trade Sales (MoM) (Jul),0.80%,-0.20%,-0.80%,9/8/2023 14:00
USD,1.0,Wholesale Trade Sales (MoM) (Aug),1.80%,,1.20%,10/10/2023 14:00
USD,1.0,Wholesale Trade Sales (MoM) (Sep),2.20%,,2.00%,11/8/2023 15:00
USD,1.0,Wholesale Trade Sales (MoM) (Oct),-1.30%,,2.00%,12/7/2023 15:00
USD,1.0,Wholesale Trade Sales (MoM) (Nov),0.00%,,-1.50%,1/10/2024 15:00
USD,1.0,Wholesale Trade Sales (MoM) (Dec),0.70%,,-0.10%,2/8/2024 15:00
USD,1.0,Wholesale Trade Sales (MoM) (Jan),-1.70%,0.30%,0.30%,3/6/2024 15:00
USD,1.0,Wholesale Trade Sales (MoM) (Feb),2.30%,0.80%,-1.40%,4/10/2024 14:00
