Event_1,Event_2,Correlation
Forecast_ADP Nonfarm Employment Change (Apr),Previous_ADP Nonfarm Employment Change (Apr),0.9817890084684637
Forecast_ADP Nonfarm Employment Change (Aug),Previous_ADP Nonfarm Employment Change (Aug),1.0000000000000044
Forecast_ADP Nonfarm Employment Change (Dec),Previous_ADP Nonfarm Employment Change (Dec),0.9398497895154013
Forecast_ADP Nonfarm Employment Change (Feb),Previous_ADP Nonfarm Employment Change (Feb),0.903623588958609
Forecast_ADP Nonfarm Employment Change (Jan),Previous_ADP Nonfarm Employment Change (Jan),0.9885115151026211
Forecast_ADP Nonfarm Employment Change (Jul),Previous_ADP Nonfarm Employment Change (Jul),-0.9999999999999992
Forecast_ADP Nonfarm Employment Change (Jun),Previous_ADP Nonfarm Employment Change (Jun),1.0000000000000009
Forecast_ADP Nonfarm Employment Change (Mar),Previous_ADP Nonfarm Employment Change (Mar),0.9445824293597775
Forecast_ADP Nonfarm Employment Change (May),Previous_ADP Nonfarm Employment Change (May),-1.0000000000000033
Forecast_ADP Nonfarm Employment Change (Nov),Previous_ADP Nonfarm Employment Change (Nov),1.0000000000000002
Forecast_ADP Nonfarm Employment Change (Oct),Previous_ADP Nonfarm Employment Change (Oct),-1.0000000000000016
Forecast_ADP Nonfarm Employment Change (Sep),Previous_ADP Nonfarm Employment Change (Sep),0.9999999999999993
Forecast_Atlanta Fed GDPNow (Q1),Previous_Atlanta Fed GDPNow (Q1),1.0
Forecast_Atlanta Fed GDPNow (Q2),Previous_Atlanta Fed GDPNow (Q2),1.0
Forecast_Atlanta Fed GDPNow (Q4),Previous_Atlanta Fed GDPNow (Q4),1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),0.9999999999999999
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Government Payrolls (Apr),0.8944677251741292
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Manufacturing Payrolls (Apr),0.7967367634072724
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Nonfarm Payrolls (Apr),0.9693437837451142
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Participation Rate (Apr),0.894467725174131
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Private Nonfarm Payrolls (Apr),0.9647830788726973
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Trade Balance (Mar),-0.8889750879537764
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_U6 Unemployment Rate (Apr),-0.894467725174131
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Unemployment Rate (Apr),-0.9999999999999999
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Average Hourly Earnings (MoM) (Apr),1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Average Hourly Earnings (YoY) (YoY) (Apr),0.8001630582480311
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Nonfarm Payrolls (Apr),0.8547376195191119
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Private Nonfarm Payrolls (Apr),0.9881833023532741
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Trade Balance (Mar),0.8943617223404756
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_U6 Unemployment Rate (Apr),-0.94872626669868
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Unemployment Rate (Apr),-0.9487262666986799
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Average Hourly Earnings (YoY) (YoY) (Aug),1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Average Weekly Hours (Aug),-1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Government Payrolls (Aug),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Manufacturing Payrolls (Aug),-1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Nonfarm Payrolls (Aug),-0.9999999999999987
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Participation Rate (Aug),-1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Private Nonfarm Payrolls (Aug),-0.9999999999999999
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_U6 Unemployment Rate (Aug),-0.9999999999999996
Forecast_Average Hourly Earnings (MoM) (Aug),Forecast_Unemployment Rate (Aug),-0.9999999999999996
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Average Hourly Earnings (MoM) (Aug),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Average Hourly Earnings (YoY) (YoY) (Aug),1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Average Weekly Hours (Aug),-1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Government Payrolls (Aug),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Manufacturing Payrolls (Aug),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Nonfarm Payrolls (Aug),-0.9999999999999983
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Participation Rate (Aug),-1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Private Nonfarm Payrolls (Aug),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_U6 Unemployment Rate (Aug),-1.0
Forecast_Average Hourly Earnings (MoM) (Aug),Previous_Unemployment Rate (Aug),-0.9999999999999996
Forecast_Average Hourly Earnings (MoM) (Dec),Forecast_Average Hourly Earnings (YoY) (YoY) (Dec),0.9487262666986795
Forecast_Average Hourly Earnings (MoM) (Dec),Forecast_Manufacturing Payrolls (Dec),0.9487262666986793
Forecast_Average Hourly Earnings (MoM) (Dec),Forecast_Participation Rate (Dec),-0.7072669594151696
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Average Hourly Earnings (MoM) (Dec),0.7072669594151715
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Average Hourly Earnings (YoY) (YoY) (Dec),0.9487262666986793
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Government Payrolls (Dec),0.8779867560025056
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Manufacturing Payrolls (Dec),-0.7072669594151704
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Nonfarm Payrolls (Dec),0.991461937363594
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Participation Rate (Dec),-0.894508218965016
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_U6 Unemployment Rate (Dec),0.9487262666986793
Forecast_Average Hourly Earnings (MoM) (Dec),Previous_Unemployment Rate (Dec),0.7072669594151716
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Average Hourly Earnings (YoY) (YoY) (Feb),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Average Weekly Hours (Feb),0.7069465666651327
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Manufacturing Payrolls (Feb),0.9977831565124137
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Nonfarm Payrolls (Feb),-0.9876643208263883
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Private Nonfarm Payrolls (Feb),-0.9977076328261162
Forecast_Average Hourly Earnings (MoM) (Feb),Forecast_Unemployment Rate (Feb),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_Average Hourly Earnings (MoM) (Feb),0.8573900505652902
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_Government Payrolls (Feb),0.7069465666651326
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_Manufacturing Payrolls (Feb),0.9854472199786001
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_Participation Rate (Feb),-0.7069465666651327
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_U6 Unemployment Rate (Feb),-0.9486402962918598
Forecast_Average Hourly Earnings (MoM) (Feb),Previous_Unemployment Rate (Feb),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Jan),Forecast_Average Hourly Earnings (YoY) (YoY) (Jan),0.97013604062926
Forecast_Average Hourly Earnings (MoM) (Jan),Forecast_Manufacturing Payrolls (Jan),0.8105882870900409
Forecast_Average Hourly Earnings (MoM) (Jan),Forecast_Participation Rate (Jan),-0.9999999999999996
Forecast_Average Hourly Earnings (MoM) (Jan),Previous_Average Hourly Earnings (MoM) (Jan),0.8944677251741281
Forecast_Average Hourly Earnings (MoM) (Jan),Previous_Manufacturing Payrolls (Jan),0.9061488815091315
Forecast_Average Hourly Earnings (MoM) (Jan),Previous_Payrolls Benchmark,-0.9740013153934931
Forecast_Average Hourly Earnings (MoM) (Jan),Previous_U6 Unemployment Rate (Jan),0.7069465666651362
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Average Hourly Earnings (YoY) (YoY) (Jul),0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Average Weekly Hours (Jul),-1.0
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Manufacturing Payrolls (Jul),-0.9999999999999968
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Nonfarm Payrolls (Jul),-0.9999999999999991
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Private Nonfarm Payrolls (Jul),-0.9999999999999968
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_U6 Unemployment Rate (Jul),-1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Jul),Forecast_Unemployment Rate (Jul),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Average Weekly Hours (Jul),-1.0
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Government Payrolls (Jul),-1.0000000000000029
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Manufacturing Payrolls (Jul),-0.9999999999999993
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Nonfarm Payrolls (Jul),0.9999999999999993
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Private Nonfarm Payrolls (Jul),1.0000000000000027
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_U6 Unemployment Rate (Jul),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Jul),Previous_Unemployment Rate (Jul),-0.9999999999999998
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Average Hourly Earnings (YoY) (YoY) (Jun),1.0
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Average Weekly Hours (Jun),1.0
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Government Payrolls (Jun),0.9999999999999981
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Manufacturing Payrolls (Jun),0.9999999999999966
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Nonfarm Payrolls (Jun),-0.9999999999999988
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_Private Nonfarm Payrolls (Jun),-0.999999999999997
Forecast_Average Hourly Earnings (MoM) (Jun),Forecast_U6 Unemployment Rate (Jun),0.9999999999999992
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Average Weekly Hours (Jun),1.0
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Government Payrolls (Jun),0.9999999999999994
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Manufacturing Payrolls (Jun),1.0000000000000002
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Nonfarm Payrolls (Jun),-0.9999999999999994
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Private Nonfarm Payrolls (Jun),-0.9999999999999989
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_U6 Unemployment Rate (Jun),1.0
Forecast_Average Hourly Earnings (MoM) (Jun),Previous_Unemployment Rate (Jun),-1.0
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Average Weekly Hours (May),1.0
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Manufacturing Payrolls (May),1.0
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Nonfarm Payrolls (May),-0.9999999999999963
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Participation Rate (May),-1.0
Forecast_Average Hourly Earnings (MoM) (May),Forecast_Private Nonfarm Payrolls (May),-0.9999999999999996
