Event,Time_Delta,Coefficients,Intercept,R_squared
Atlanta Fed GDPNow,5,[1.89441454e-02 9.34397968e-18],0.03080598628551198,0.024370786967850333
Atlanta Fed GDPNow,15,[8.87781696e-03 6.22386602e-17],-0.023558687108096752,0.001686905858434784
Atlanta Fed GDPNow,30,[ 2.62913731e-02 -2.03792944e-17],0.013358942320473044,0.009737894954565562
Atlanta Fed GDPNow,60,[-3.94203593e-02 -1.26103161e-16],0.061559691524004,0.0071587153939924875
Average Hourly Earnings (MoM),5,[0.00442707 0.08409421],-0.11106643366189306,0.058973205241702575
Average Hourly Earnings (MoM),15,[-0.06266857 -0.11227412],0.006780194980258131,0.21796632303946728
Average Hourly Earnings (MoM),30,[-0.02796546  0.04840985],-0.0704475297186922,0.01331736491706792
Average Hourly Earnings (MoM),60,[-0.08075091  0.1385265 ],-0.0797508517248099,0.08680330896316868
Average Hourly Earnings (YoY) (YoY),5,[-0.04055463 -0.10727437],-0.11106643366189306,0.22283948071959214
Average Hourly Earnings (YoY) (YoY),15,[-0.07547294  0.04328175],0.006780194980258145,0.1829138625515564
Average Hourly Earnings (YoY) (YoY),30,[-0.04557287 -0.06101595],-0.0704475297186922,0.03269023654440495
Average Hourly Earnings (YoY) (YoY),60,[-0.12068594 -0.19502053],-0.07975085172480989,0.2164923190781023
Average Weekly Hours,5,[ 0.02650763 -0.03962421],-0.11106643366189306,0.03671909024181963
Average Weekly Hours,15,[-0.00620313 -0.08335178],0.006780194980258128,0.020748809104173538
Average Weekly Hours,30,[0.01334643 0.04447939],-0.0704475297186922,0.00383822801189182
Average Weekly Hours,60,[0.10433353 0.31997572],-0.07975085172480986,0.17186284396558016
Building Permits,5,[-0.02488932 -0.00087807],0.03305509650050254,0.021127058642503416
Building Permits,15,[-0.05924864 -0.0174911 ],-0.03634528691296379,0.06363438631864482
Building Permits,30,[-0.0947081  -0.02184293],-0.05531717332718282,0.12486079319422583
Building Permits,60,[-0.09225697  0.05669698],-0.06893235610639815,0.10915081297673135
Building Permits (MoM),5,[-0.03562919  0.02957092],0.03305509650050254,0.07560794202003318
Building Permits (MoM),15,[-0.07374516  0.05118007],-0.03634528691296379,0.15016862731905922
Building Permits (MoM),30,[-0.05915714  0.04058291],-0.05531717332718282,0.07612504905374118
Building Permits (MoM),60,[-0.1009827  -0.02583099],-0.06893235610639815,0.1396217923255717
Business Inventories (MoM),5,[0.02925548 0.0154232 ],0.029984200249612923,0.022714157788933043
Business Inventories (MoM),15,[ 0.06653041 -0.00881066],0.02966046394851144,0.0995660119001337
Business Inventories (MoM),30,[ 0.11527408 -0.08238344],-0.07617864602739717,0.1551154698114361
Business Inventories (MoM),60,[0.28598958 0.33167037],-0.340257790257797,0.23341538960583086
CB Consumer Confidence,5,[0.05027701 0.01973377],0.16774182666577894,0.06360650657316536
CB Consumer Confidence,15,[0.13049704 0.06063177],0.15328493704819796,0.33878366923675385
CB Consumer Confidence,30,[-0.16086014 -0.18625969],0.33923775578069637,0.0726203229758291
CB Consumer Confidence,60,[-0.36307987 -0.25914601],0.4213584999357951,0.1703179618604962
CFTC Aluminium speculative net positions,5,[-0.00508444  0.00315638],0.01852394917174843,0.003922349584995044
CFTC Aluminium speculative net positions,15,[-0.03721611  0.00419714],-0.006825822825933656,0.0306230639649967
CFTC Aluminium speculative net positions,30,[-0.0375965  0.0292851],0.034655230972550605,0.019673430854694085
CFTC Aluminium speculative net positions,60,[-0.04656542 -0.00930595],0.04880449074507372,0.011586831850608381
CFTC Copper speculative net positions,5,[-0.00621249 -0.03112988],0.01852394917174843,0.05404754146905466
CFTC Copper speculative net positions,15,[-0.00665616 -0.01977524],-0.006825822825933657,0.004376064972288485
CFTC Copper speculative net positions,30,[ 0.004168  -0.0130442],0.034655230972550605,0.000925408344907952
