event_name,avg_hour_of_day,avg_day_of_week,avg_day_of_month,April,August,December,February,January,July,June,March,May,November,October,September
10-Year_Note_Auction,17.416666666666668,Wednesday,10.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10-Year_TIPS_Auction,17.333333333333332,Thursday,20.333333333333332,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2-Year_Note_Auction,17.0,Tuesday,25.083333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20-Year_Bond_Auction,17.333333333333332,Wednesday,19.166666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3-Month_Bill_Auction,15.509803921568627,Monday,15.784313725490197,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
3-Year_Note_Auction,17.083333333333332,Tuesday,9.416666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30-Year_Bond_Auction,17.416666666666668,Thursday,11.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30-Year_TIPS_Auction,17.5,Thursday,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Week_Bill_Auction,15.326923076923077,Thursday,15.846153846153847,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
5-Year_Note_Auction,17.333333333333332,Tuesday,25.916666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5-Year_TIPS_Auction,17.25,Thursday,20.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
52-Week_Bill_Auction,15.76923076923077,Tuesday,17.307692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
6-Month_Bill_Auction,15.352941176470589,Monday,15.784313725490197,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
7-Year_Note_Auction,17.333333333333332,Wednesday,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8-Week_Bill_Auction,15.326923076923077,Thursday,15.846153846153847,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
ADP_Nonfarm_Employment_Change,12.333333333333334,Wednesday,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
All_Car_Sales,13.090909090909092,Wednesday,3.3636363636363638,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
All_Truck_Sales,13.090909090909092,Wednesday,3.3636363636363638,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
API_Weekly_Crude_Oil_Stock,20.365384615384617,Tuesday,16.326923076923077,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0
Atlanta_Fed_GDPNow,16.357142857142858,Thursday,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0
Average_Hourly_Earnings_MoM,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Average_Hourly_Earnings_YoY_YoY,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Average_Weekly_Hours,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beige_Book,18.375,Wednesday,17.625,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Building_Permits,12.125,Wednesday,21.291666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Building_Permits_MoM,12.125,Wednesday,21.291666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Business_Inventories_MoM,14.333333333333334,Wednesday,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Capacity_Utilization_Rate,13.333333333333334,Thursday,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CB_Consumer_Confidence,14.333333333333334,Tuesday,27.333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CB_Employment_Trends_Index,14.333333333333334,Monday,8.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CFTC_Aluminium_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Copper_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Corn_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Crude_Oil_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Gold_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Nasdaq_100_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Natural_Gas_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Silver_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Soybeans_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_SP_500_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Wheat_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
Challenger_Job_Cuts,11.333333333333334,Thursday,6.75,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Challenger_Job_Cuts_YoY,11.333333333333334,Thursday,6.75,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Chicago_Fed_National_Activity,12.363636363636363,Wednesday,23.90909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Chicago_PMI,13.333333333333334,Wednesday,29.916666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cleveland_CPI_MoM,15.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Construction_Spending_MoM,14.333333333333334,Wednesday,1.5833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Consumer_Credit,19.416666666666668,Wednesday,7.166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Continuing_Jobless_Claims,12.346153846153847,Thursday,15.826923076923077,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
Core_CPI_Index,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_CPI_MoM,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_CPI_YoY,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_Durable_Goods_Orders_MoM,12.333333333333334,Thursday,25.333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_PCE_Prices,12.333333333333334,Thursday,26.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_PCE_Price_Index_MoM,12.333333333333334,Friday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_PCE_Price_Index_YoY,12.333333333333334,Friday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_PPI_MoM,12.333333333333334,Thursday,13.666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_PPI_YoY,12.333333333333334,Thursday,13.666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_Retail_Sales_MoM,12.333333333333334,Wednesday,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Corporate_Profits,12.285714285714286,Thursday,27.428571428571427,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
CPI_Index_nsa,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPI_Index_sa,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
