Event_1,Event_2,Correlation
Forecast_ADP Nonfarm Employment Change (Apr),Previous_ADP Nonfarm Employment Change (Apr),0.9999999999999996
Forecast_ADP Nonfarm Employment Change (Aug),Previous_ADP Nonfarm Employment Change (Aug),1.000000000000001
Forecast_ADP Nonfarm Employment Change (Dec),Previous_ADP Nonfarm Employment Change (Dec),0.9398300409024235
Forecast_ADP Nonfarm Employment Change (Feb),Previous_ADP Nonfarm Employment Change (Feb),0.9036229594145397
Forecast_ADP Nonfarm Employment Change (Jan),Previous_ADP Nonfarm Employment Change (Jan),0.9885086456951463
Forecast_ADP Nonfarm Employment Change (Jul),Previous_ADP Nonfarm Employment Change (Jul),-0.9999999999999988
Forecast_ADP Nonfarm Employment Change (Jun),Previous_ADP Nonfarm Employment Change (Jun),0.9999999999999991
Forecast_ADP Nonfarm Employment Change (Mar),Previous_ADP Nonfarm Employment Change (Mar),0.9445960332703309
Forecast_ADP Nonfarm Employment Change (May),Previous_ADP Nonfarm Employment Change (May),-1.0000000000000018
Forecast_ADP Nonfarm Employment Change (Nov),Previous_ADP Nonfarm Employment Change (Nov),1.000000000000003
Forecast_ADP Nonfarm Employment Change (Oct),Previous_ADP Nonfarm Employment Change (Oct),-1.0000000000000004
Forecast_ADP Nonfarm Employment Change (Sep),Previous_ADP Nonfarm Employment Change (Sep),0.9999999999999999
Forecast_Atlanta Fed GDPNow (Q1),Previous_Atlanta Fed GDPNow (Q1),1.0
Forecast_Atlanta Fed GDPNow (Q4),Previous_Atlanta Fed GDPNow (Q4),1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Average Hourly Earnings (YoY) (YoY) (Apr),1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Government Payrolls (Apr),0.999999999999999
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Manufacturing Payrolls (Apr),0.9999999999999991
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Nonfarm Payrolls (Apr),0.9999999999999987
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Nonfarm Productivity (QoQ) (Q1),-0.8321569712922355
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Participation Rate (Apr),1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Private Nonfarm Payrolls (Apr),0.9999999999999997
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Trade Balance (Mar),-0.9999999999999999
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_U6 Unemployment Rate (Apr),-1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Forecast_Unemployment Rate (Apr),-1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Average Hourly Earnings (MoM) (Apr),1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Average Hourly Earnings (YoY) (YoY) (Apr),1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Government Payrolls (Apr),-1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Manufacturing Payrolls (Apr),1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Nonfarm Payrolls (Apr),1.000000000000001
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Nonfarm Productivity (QoQ) (Q1),-0.749147579193979
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Private Nonfarm Payrolls (Apr),0.9999999999999966
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Trade Balance (Mar),1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_U6 Unemployment Rate (Apr),-1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Unemployment Rate (Apr),-1.0
Forecast_Average Hourly Earnings (MoM) (Apr),Previous_Unit Labor Costs (QoQ) (Q1),0.948663546790629
